category,code,url,summary,description,guidance-desc
Using waste,U1,https://www.gov.uk/guidance/waste-exemptions-using-waste,Using waste in construction,"using crushed bricks, concrete, rubble, woodchip, road planings and soil in construction.",This exemption allows you to use suitable waste rather than virgin raw material or material which has ceased to be waste - for example by complying with a Quality Protocol.
Using waste,U2,https://www.gov.uk/guidance/waste-exemption-u2-use-of-baled-end-of-life-tyres-in-construction,Use of baled end-of-life tyres in construction,"using a small number of end-of-life tyre bales (no more than 50 tonnes) in building or engineering work that includes repair, alteration, maintenance or improvement of existing works.",This exemption allows you to use a small number of end-of-life tyre bales in construction.
Using waste,U3,https://www.gov.uk/guidance/waste-exemption-u3-construction-of-entertainment-or-educational-installations,Using waste in creative installations,"allows groups such as schools, colleges and theatres to use waste wood, bricks, tiles, plastic, paper, metals and textiles for creative installations.","This exemption allows groups such as schools, colleges and theatres to use waste such as off-cuts of wood creatively."
Using waste,U4,https://www.gov.uk/guidance/waste-exemption-u4-burning-of-waste-as-a-fuel-in-a-small-appliance,Burning waste as fuel in a small appliance,"using waste plant and vegetable material or untreated wood, sawdust, bark as fuel in a small appliance to produce heat or power.",This exemption allows you to use waste as fuel to produce heat or power.
Using waste,U5,https://www.gov.uk/guidance/waste-exemption-u5-using-biodiesel-produced-from-waste-as-fuel,Using biodiesel produced from waste as fuel,"storing and using biodiesel produced from waste as fuel in portable generators and motor vehicles. You can store up to 5,000 litres at any one time at a place owned or occupied by the owner or user of the biodiesel or use up to 1,000 litres of biodiesel in a portable generator or in a motor vehicle at any one time.",This exemption allows you to store and use biodiesel produced from waste as fuel in portable generators and motor vehicles.
Using waste,U6,https://www.gov.uk/guidance/waste-exemption-u6-using-sludge-to-re-seed-a-waste-water-treatment-plant,Using sludge to re-seed a waste water treatment plant,"import sludge from one waste water treatment plant to another to reseed the biological process. You cannot store, treat or use septic tank or cesspool sludge under this exemption.",This exemption allows you to import sludge from another waste water treatment plant to re-seed the biological process at a waste water treatment plant.
Using waste,U7,https://www.gov.uk/guidance/waste-exemption-u7-using-effluent-to-clean-a-highway-gravel-bed,Using effluent to clean a highway gravel bed,use effluent from water and waste water treatment plants to clean highway gravel beds where high-quality water is not needed.,This exemption allows you to use effluent from water and waste treatment plants to clean highway gravel beds. This reduces the amount of tap water used where high quality water is not needed.
Using waste,U8,https://www.gov.uk/guidance/waste-exemption-u8-using-waste-for-a-specified-purpose,Using waste for a specific purpose,"using paper, sawdust, waste paint, compost, wood, stone, sludge (that does not need treating) for a specific purpose to reduce the use of virgin or non-waste materials.","This exemption allows you to use waste that does not need treating, to reduce the use of virgin or non waste materials."
Using waste,U9,https://www.gov.uk/guidance/waste-exemption-u9-using-waste-to-manufacture-finished-goods,Using waste to manufacture finished goods,"using waste ash, glass, metals, textiles, paper, rubber, wood etc in place of raw materials to manufacture a finished product.",This exemption allows you to use waste in place of raw materials to manufacture a finished product.
Using waste,U10,https://www.gov.uk/guidance/waste-exemption-u10-spreading-waste-to-benefit-agricultural-land,Spreading waste to benefit agricultural land,"spreading ash, chalk, dredging spoil and water, sludge and effluent used to clean fruit and vegetables on a farm to replace manufactured fertilisers or virgin materials (such as lime) to improve or maintain soil.",This exemption allows you to spread specific waste on agricultural land to replace manufactured fertilisers or virgin materials such as agricultural lime used to improve or maintain soil.
